ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-05-21 15:00:00+00:00,33,2,10888,428.99,429.07,428.95,429.07,3691,MSFT
2024-05-21 15:00:00+00:00,33,2,38,192.29,192.39,192.28,192.38,91386,AAPL
2024-05-21 15:00:00+00:00,33,2,11667,947.83,947.83,947.1,947.36,6406,NVDA
2024-05-21 15:01:00+00:00,33,2,10888,429.04,429.28,429.03,429.28,6472,MSFT
2024-05-21 15:01:00+00:00,33,2,11667,947.38,948.88,947.29,948.82,18805,NVDA
2024-05-21 15:01:00+00:00,33,2,38,192.39,192.39,192.35,192.37,20742,AAPL
2024-05-21 15:02:00+00:00,33,2,10888,429.28,429.35,429.23,429.34,4042,MSFT
2024-05-21 15:02:00+00:00,33,2,11667,948.85,949.24,948.52,949.0,20326,NVDA
2024-05-21 15:02:00+00:00,33,2,38,192.37,192.43,192.37,192.42,34352,AAPL
2024-05-21 15:03:00+00:00,33,2,38,192.41,192.45,192.37,192.44,25504,AAPL
2024-05-21 15:03:00+00:00,33,2,11667,948.88,949.0,948.07,948.76,6291,NVDA
2024-05-21 15:03:00+00:00,33,2,10888,429.32,429.38,429.29,429.34,4210,MSFT
2024-05-21 15:04:00+00:00,33,2,11667,948.73,948.8,948.0,948.23,12617,NVDA
2024-05-21 15:04:00+00:00,33,2,38,192.44,192.46,192.42,192.42,21008,AAPL
2024-05-21 15:04:00+00:00,33,2,10888,429.36,429.46,429.28,429.34,5519,MSFT
